url,average_commit_time (ms),average_image_gathering_time (ms),average_num_layers_drawn (),average_num_missing_tiles (),dom_content_loaded_time (seconds),dropped_percent (%),first_paint (ms),load_time (seconds),mean_frame_time (ms),percent_impl_scrolled (%),texture_upload_count (count),total_deferred_image_decode_count (count),total_deferred_image_decoding_time (seconds),total_image_cache_hit_count (count),total_texture_upload_time (seconds)
v2.0.1/button-all.html,0,0,0.0,0.0,0.177,0.0,512.0,0.323,8.47,0.0,0,0,0,0,0
v2.0.2/button-all.html,0,0,0.0,0.0,0.184,0.0,550.0,0.35,8.46,0.0,0,0,0,0,0
v2.0.3/button-all.html,0,0,0.0,0.0,0.183,0.0,539.0,0.341,8.46,0.0,0,0,0,0,0
v2.0.4/button-all.html,0,0,0.0,0.0,0.181,0.0,526.0,0.343,8.484,0.0,0,0,0,0,0
v2.1.0/button-all.html,0,0,0.0,0.0,0.147,0.0,427.0,0.268,8.579,0.0,0,0,0,0,0
v2.1.1/button-all.html,0,0,0.0,0.0,0.208,0.0,483.0,0.329,8.586,0.0,0,0,0,0,0
v2.2.0/button-all.html,0,0,0.0,0.0,0.148,0.0,397.0,0.261,8.545,0.0,0,0,0,0,0
v2.2.1/button-all.html,0,0,0.0,0.0,0.139,0.0,341.0,0.25,8.504,0.0,0,0,0,0,0
v2.2.2/button-all.html,0,0,0.0,0.0,0.148,0.0,405.0,0.26,8.576,0.0,0,0,0,0,0
v2.3.0/button-all.html,0,0,0.0,0.0,0.159,0.0,429.0,0.278,8.609,0.0,0,0,0,0,0
v2.3.1/button-all.html,0,0,0.0,0.0,0.153,0.0,429.0,0.275,8.543,0.0,0,0,0,0,0
v2.3.2/button-all.html,0,0,0.0,0.0,0.145,0.0,403.0,0.261,8.634,0.0,0,0,0,0,0
v3.0.0-rc.2/button-all.html,0,0,0.0,0.0,0.171,0.0,420.0,0.288,8.668,0.0,0,0,0,0,0
v3.0.0-rc1/button-all.html,0,0,0.0,0.0,0.166,0.0,472.0,0.311,8.62,0.0,0,0,0,0,0
v3.0.0-rcFinal/button-all.html,0,0,0.0,0.0,0.184,0.0,452.0,0.311,8.439,0.0,0,0,0,0,0
v1.0.0/button-basic.html,0,0,0.0,0.0,0.046,0.0,81.0,0.067,8.616,0.0,0,0,0,0,0
